data,nr_ord,regioni
2020-11-05,20A06144,abruzzo
2020-11-05,20A06144,basilicata
2020-11-05,20A06144,campania
2020-11-05,20A06144,emilia-romagna
2020-11-05,20A06144,friuli venezia giulia
2020-11-05,20A06144,p.a. bolzano
2020-11-05,20A06144,lazio
2020-11-05,20A06144,liguria
2020-11-05,20A06144,marche
2020-11-05,20A06144,molise
2020-11-05,20A06144,p.a. trento
2020-11-05,20A06144,p.a. bolzano
2020-11-05,20A06144,sardegna
2020-11-05,20A06144,toscana
2020-11-05,20A06144,umbria
2020-11-05,20A06144,veneto
2020-11-05,20A06144,puglia
2020-11-05,20A06144,sicilia
2020-11-05,20A06144,calabria
2020-11-05,20A06144,lombardia
2020-11-05,20A06144,piemonte
2020-11-05,20A06144,valle d'aosta
2020-11-10,20A06211,abruzzo
2020-11-10,20A06211,basilicata
2020-11-10,20A06211,liguria
2020-11-10,20A06211,toscana
2020-11-10,20A06211,umbria
2020-11-10,20A06211,p.a. bolzano
2020-11-14,20A06292,emilia-romagna
2020-11-14,20A06292,friuli venezia giulia
2020-11-14,20A06292,marche
2020-11-14,20A06292,campania
2020-11-14,20A06292,toscana
2020-11-20,20A06423,calabria
2020-11-20,20A06423,lombardia
2020-11-20,20A06423,piemonte
2020-11-20,20A06423,puglia
2020-11-20,20A06423,sicilia
2020-11-20,20A06423,valle d'aosta
2020-11-21,20A06467,abruzzo
2020-11-24,20A06541,basilicata
2020-11-24,20A06541,liguria
2020-11-24,20A06541,umbria
2020-11-24,20A06541,p.a. bolzano
2020-11-28,20A06656,calabria
2020-11-28,20A06656,lombardia
2020-11-28,20A06656,piemonte
2020-11-28,20A06656,liguria
2020-11-28,20A06656,sicilia
2020-11-28,20A06657,campania
2020-11-28,20A06657,emilia-romagna
2020-11-28,20A06657,friuli venezia giulia
2020-11-28,20A06657,marche
2020-11-28,20A06657,toscana
2020-12-05,20A06781,basilicata
2020-12-05,20A06781,calabria
2020-12-05,20A06781,lombardia
2020-12-05,20A06781,piemonte
2020-12-05,20A06781,abruzzo
2020-12-05,20A06782,campania
2020-12-05,20A06782,toscana
2020-12-05,20A06782,valle d'aosta
2020-12-05,20A06782,p.a. bolzano
